station,date,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08,WT10
USW00093184,2022-06-07,29.0,,,0.0,,,,244.0,183.0,,190.0,200.0,67.0,89.0,,,,,,
USW00093184,2022-06-08,30.0,,,0.0,,,,244.0,183.0,,190.0,190.0,63.0,89.0,,,,,,
USW00093184,2022-06-09,26.0,,,0.0,,,,244.0,183.0,,210.0,200.0,63.0,85.0,,,,,,
USW00093184,2022-06-10,30.0,,,0.0,,,,261.0,172.0,,190.0,190.0,72.0,89.0,1.0,,,,1.0,
USW00093184,2022-06-11,23.0,,,0.0,,,,261.0,183.0,,190.0,200.0,67.0,89.0,1.0,,,,1.0,
USW00093184,2022-06-12,34.0,,,0.0,,,,239.0,178.0,,200.0,200.0,76.0,98.0,,,,,,
USW00093184,2022-06-13,31.0,,,0.0,,,,250.0,189.0,,200.0,210.0,63.0,81.0,1.0,,,,1.0,
USW00093184,2022-06-14,32.0,,,0.0,,,,256.0,194.0,,210.0,200.0,67.0,103.0,,,,,,
USW00093184,2022-06-15,31.0,,,0.0,,,,250.0,189.0,,190.0,190.0,72.0,89.0,,,,,,
USW00093184,2022-06-16,30.0,,,0.0,,,,250.0,189.0,,180.0,210.0,67.0,98.0,,,,,,
USW00093184,2022-06-17,31.0,,,0.0,,,,244.0,189.0,,210.0,200.0,72.0,98.0,,,,,,
USW00093184,2022-06-18,30.0,,,0.0,,,,239.0,183.0,,190.0,210.0,72.0,89.0,,,,,,
USW00093184,2022-06-19,18.0,,,0.0,,,,261.0,172.0,,220.0,220.0,63.0,81.0,,,,,,
USW00093184,2022-06-20,26.0,,,0.0,,,,311.0,172.0,,200.0,210.0,67.0,81.0,,,,,,
USW00093184,2022-06-21,30.0,,,0.0,,,,272.0,189.0,,210.0,210.0,81.0,94.0,,,,,,
USW00093184,2022-06-22,22.0,,,0.0,,,,294.0,200.0,,190.0,200.0,54.0,67.0,,,1.0,,,
USW00093184,2022-06-23,22.0,,,0.0,,,,294.0,194.0,,220.0,220.0,54.0,67.0,,,,,,
USW00093184,2022-06-24,20.0,,,0.0,,,,294.0,178.0,,210.0,210.0,54.0,72.0,,,,,1.0,
USW00093184,2022-06-25,22.0,,,0.0,,,,272.0,167.0,,200.0,190.0,67.0,76.0,1.0,,,,1.0,
USW00093184,2022-06-26,27.0,,,0.0,,,,272.0,161.0,,200.0,210.0,54.0,72.0,1.0,,,,1.0,
USW00093184,2022-06-27,21.0,,,0.0,,,,283.0,183.0,,190.0,230.0,58.0,72.0,,,,,1.0,
USW00093184,2022-06-28,29.0,,,0.0,,,,289.0,194.0,,220.0,210.0,72.0,94.0,,,,,,
USW00093184,2022-06-29,32.0,,,0.0,,,,272.0,200.0,,210.0,210.0,72.0,89.0,,,,,,
USW00093184,2022-06-30,29.0,,,0.0,,,,272.0,189.0,,210.0,210.0,63.0,81.0,,,,,1.0,
USW00093184,2022-07-01,28.0,,,0.0,,,,261.0,183.0,,190.0,190.0,67.0,89.0,1.0,,,,1.0,
USW00093184,2022-07-02,28.0,,,0.0,,,,256.0,183.0,,200.0,210.0,67.0,89.0,,,,,,
USW00093184,2022-07-03,34.0,,,0.0,,,,239.0,183.0,,200.0,220.0,72.0,98.0,,,,,,
USW00093184,2022-07-04,28.0,,,0.0,,,,244.0,178.0,,200.0,190.0,63.0,81.0,,,,,1.0,
USW00093184,2022-07-05,29.0,,,0.0,,,,261.0,183.0,,200.0,250.0,63.0,85.0,,,,,,
USW00093184,2022-07-06,19.0,,,0.0,,,,256.0,189.0,,220.0,230.0,58.0,72.0,,,,,,
USW00093184,2022-07-07,29.0,,,0.0,,,,267.0,178.0,,200.0,200.0,76.0,98.0,1.0,,,,1.0,
USW00093184,2022-07-08,28.0,,,0.0,,,,256.0,189.0,,190.0,200.0,63.0,89.0,,,,,,
USW00093184,2022-07-09,23.0,,,0.0,,,,272.0,189.0,,210.0,220.0,58.0,72.0,,,,,1.0,
USW00093184,2022-07-10,28.0,,,0.0,,,,267.0,178.0,,200.0,190.0,67.0,89.0,1.0,1.0,,,1.0,
USW00093184,2022-07-11,26.0,,,0.0,,,,244.0,183.0,,200.0,210.0,58.0,81.0,,,,,,
USW00093184,2022-07-12,26.0,,,0.0,,,,244.0,178.0,,200.0,200.0,58.0,94.0,,,,,,
USW00093184,2022-07-13,19.0,,,0.0,,,,256.0,183.0,,220.0,220.0,54.0,67.0,,,,,,
USW00093184,2022-07-14,34.0,,,0.0,,,,239.0,189.0,,210.0,210.0,67.0,94.0,,,,,,
USW00093184,2022-07-15,29.0,,,0.0,,,,267.0,189.0,,200.0,180.0,58.0,85.0,,,,,,
USW00093184,2022-07-16,24.0,,,0.0,,,,261.0,194.0,,200.0,200.0,72.0,85.0,,,,,1.0,
USW00093184,2022-07-17,32.0,,,0.0,,,,278.0,189.0,,210.0,220.0,89.0,103.0,1.0,,,,1.0,
USW00093184,2022-07-18,31.0,,,0.0,,,,283.0,206.0,,220.0,190.0,58.0,76.0,,,,,,
USW00093184,2022-07-19,26.0,,,0.0,,,,294.0,200.0,,210.0,210.0,58.0,76.0,,,,,,
USW00093184,2022-07-20,29.0,,,0.0,,,,300.0,206.0,,210.0,200.0,72.0,89.0,,,,,,
